student_id,model,model_label,run,total_score,total_points,norm_score,ta1_total_score,ta2_total_score,ta3_total_score,ta_avg,ta_std,llm_bias,llm_abs_error,llm_grade,ta_avg_grade,is_outlier,llm_call_time_taken
1,gpt-5,GPT-5,1,80.5,133.0,0.6052631578947368,89.0,61.0,89.0,79.66666666666667,16.165807537309522,0.8333333333333286,0.8333333333333286,1,0,False,114.0643391609192
1,gpt-5,GPT-5,2,86.0,133.0,0.6466165413533834,89.0,61.0,89.0,79.66666666666667,16.165807537309522,6.333333333333329,6.333333333333329,1,0,False,116.2975573539734
1,gpt-5,GPT-5,3,92.5,133.0,0.6954887218045113,89.0,61.0,89.0,79.66666666666667,16.165807537309522,12.833333333333329,12.833333333333329,1,0,False,103.18935203552246
1,gpt-4o,GPT-4o,1,87.0,133.0,0.6541353383458647,89.0,61.0,89.0,79.66666666666667,16.165807537309522,7.333333333333329,7.333333333333329,1,0,False,22.81236886978149
1,gpt-4o,GPT-4o,2,82.0,133.0,0.6165413533834586,89.0,61.0,89.0,79.66666666666667,16.165807537309522,2.3333333333333286,2.3333333333333286,1,0,False,24.733363389968872
1,gpt-4o,GPT-4o,3,86.0,133.0,0.6466165413533834,89.0,61.0,89.0,79.66666666666667,16.165807537309522,6.333333333333329,6.333333333333329,1,0,False,26.20730185508728
1,global.anthropic.claude-opus-4-6-v1,Claude Opus,1,89.5,133.0,0.6729323308270677,89.0,61.0,89.0,79.66666666666667,16.165807537309522,9.833333333333329,9.833333333333329,1,0,False,54.00325798988342
1,global.anthropic.claude-opus-4-6-v1,Claude Opus,2,91.0,133.0,0.6842105263157895,89.0,61.0,89.0,79.66666666666667,16.165807537309522,11.333333333333329,11.333333333333329,1,0,False,54.32559084892273
1,global.anthropic.claude-opus-4-6-v1,Claude Opus,3,86.0,133.0,0.6466165413533834,89.0,61.0,89.0,79.66666666666667,16.165807537309522,6.333333333333329,6.333333333333329,1,0,False,46.30348610877991
1,global.anthropic.claude-sonnet-4-6,Claude Sonnet,1,81.0,133.0,0.6090225563909775,89.0,61.0,89.0,79.66666666666667,16.165807537309522,1.3333333333333286,1.3333333333333286,1,0,False,53.74344348907471
1,global.anthropic.claude-sonnet-4-6,Claude Sonnet,2,84.0,133.0,0.631578947368421,89.0,61.0,89.0,79.66666666666667,16.165807537309522,4.333333333333329,4.333333333333329,1,0,False,60.01913928985596
1,global.anthropic.claude-sonnet-4-6,Claude Sonnet,3,84.0,133.0,0.631578947368421,89.0,61.0,89.0,79.66666666666667,16.165807537309522,4.333333333333329,4.333333333333329,1,0,False,56.57440519332886
1,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,1,81.5,133.0,0.6127819548872181,89.0,61.0,89.0,79.66666666666667,16.165807537309522,1.8333333333333286,1.8333333333333286,1,0,False,27.73504376411438
1,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,2,76.5,133.0,0.575187969924812,89.0,61.0,89.0,79.66666666666667,16.165807537309522,-3.1666666666666714,3.1666666666666714,0,0,False,27.94715714454651
1,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,3,69.5,133.0,0.5225563909774437,89.0,61.0,89.0,79.66666666666667,16.165807537309522,-10.166666666666671,10.166666666666671,0,0,False,26.51112580299377
1,gemini-2.5-pro,Gemini 2.5 Pro,1,92.0,133.0,0.6917293233082706,89.0,61.0,89.0,79.66666666666667,16.165807537309522,12.333333333333329,12.333333333333329,1,0,False,34.917314529418945
1,gemini-2.5-pro,Gemini 2.5 Pro,2,95.0,133.0,0.7142857142857143,89.0,61.0,89.0,79.66666666666667,16.165807537309522,15.333333333333329,15.333333333333329,2,0,False,35.85085415840149
1,gemini-2.5-pro,Gemini 2.5 Pro,3,92.0,133.0,0.6917293233082706,89.0,61.0,89.0,79.66666666666667,16.165807537309522,12.333333333333329,12.333333333333329,1,0,False,33.013025999069214
1,gemini-2.5-flash,Gemini 2.5 Flash,1,116.0,133.0,0.8721804511278195,89.0,61.0,89.0,79.66666666666667,16.165807537309522,36.33333333333333,36.33333333333333,3,0,False,15.831589221954346
1,gemini-2.5-flash,Gemini 2.5 Flash,2,108.0,133.0,0.8120300751879699,89.0,61.0,89.0,79.66666666666667,16.165807537309522,28.33333333333333,28.33333333333333,3,0,False,18.500580549240112
1,gemini-2.5-flash,Gemini 2.5 Flash,3,107.0,133.0,0.8045112781954887,89.0,61.0,89.0,79.66666666666667,16.165807537309522,27.33333333333333,27.33333333333333,3,0,False,21.142314672470093
10,gpt-5,GPT-5,1,40.0,133.0,0.3007518796992481,74.0,76.0,87.0,79.0,7.0,-39.0,39.0,0,0,False,125.49830865859984
10,gpt-5,GPT-5,2,41.5,133.0,0.31203007518796994,74.0,76.0,87.0,79.0,7.0,-37.5,37.5,0,0,False,166.35365533828735
10,gpt-5,GPT-5,3,50.0,133.0,0.37593984962406013,74.0,76.0,87.0,79.0,7.0,-29.0,29.0,0,0,False,129.07532906532288
10,gpt-4o,GPT-4o,1,76.0,133.0,0.5714285714285714,74.0,76.0,87.0,79.0,7.0,-3.0,3.0,0,0,False,30.159618854522705
10,gpt-4o,GPT-4o,2,45.5,133.0,0.34210526315789475,74.0,76.0,87.0,79.0,7.0,-33.5,33.5,0,0,False,23.11429715156555
10,gpt-4o,GPT-4o,3,74.0,133.0,0.556390977443609,74.0,76.0,87.0,79.0,7.0,-5.0,5.0,0,0,False,13.724136590957642
10,global.anthropic.claude-opus-4-6-v1,Claude Opus,1,55.0,133.0,0.41353383458646614,74.0,76.0,87.0,79.0,7.0,-24.0,24.0,0,0,False,53.90432238578797
10,global.anthropic.claude-opus-4-6-v1,Claude Opus,2,56.0,133.0,0.42105263157894735,74.0,76.0,87.0,79.0,7.0,-23.0,23.0,0,0,False,55.66400766372681
10,global.anthropic.claude-opus-4-6-v1,Claude Opus,3,53.0,133.0,0.39849624060150374,74.0,76.0,87.0,79.0,7.0,-26.0,26.0,0,0,False,53.23016858100891
10,global.anthropic.claude-sonnet-4-6,Claude Sonnet,1,65.0,133.0,0.48872180451127817,74.0,76.0,87.0,79.0,7.0,-14.0,14.0,0,0,False,49.56003451347351
10,global.anthropic.claude-sonnet-4-6,Claude Sonnet,2,65.0,133.0,0.48872180451127817,74.0,76.0,87.0,79.0,7.0,-14.0,14.0,0,0,False,47.58020377159119
10,global.anthropic.claude-sonnet-4-6,Claude Sonnet,3,67.0,133.0,0.5037593984962406,74.0,76.0,87.0,79.0,7.0,-12.0,12.0,0,0,False,48.59455347061157
10,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,1,57.0,133.0,0.42857142857142855,74.0,76.0,87.0,79.0,7.0,-22.0,22.0,0,0,False,25.908871173858643
10,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,2,55.0,133.0,0.41353383458646614,74.0,76.0,87.0,79.0,7.0,-24.0,24.0,0,0,False,26.28041219711304
10,global.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku,3,59.0,133.0,0.44360902255639095,74.0,76.0,87.0,79.0,7.0,-20.0,20.0,0,0,False,24.531416654586792
10,gemini-2.5-pro,Gemini 2.5 Pro,1,64.0,133.0,0.48120300751879697,74.0,76.0,87.0,79.0,7.0,-15.0,15.0,0,0,False,39.5290732383728
10,gemini-2.5-pro,Gemini 2.5 Pro,2,67.0,133.0,0.5037593984962406,74.0,76.0,87.0,79.0,7.0,-12.0,12.0,0,0,False,27.70919919013977
10,gemini-2.5-pro,Gemini 2.5 Pro,3,57.0,133.0,0.42857142857142855,74.0,76.0,87.0,79.0,7.0,-22.0,22.0,0,0,False,29.628949403762817
10,gemini-2.5-flash,Gemini 2.5 Flash,1,55.5,133.0,0.41729323308270677,74.0,76.0,87.0,79.0,7.0,-23.5,23.5,0,0,False,63.4479820728302
10,gemini-2.5-flash,Gemini 2.5 Flash,2,56.75,133.0,0.4266917293233083,74.0,76.0,87.0,79.0,7.0,-22.25,22.25,0,0,False,23.279306650161743
